No,레포지토리_이름,GitHub_URL,분류,용도,개발_목적,주로_사용한_언어,주요_키워드,분석_근거
103,libbpf,https://github.com/furiosa-ai/libbpf,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",C,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
104,shippie,https://github.com/furiosa-ai/shippie,클라우드·Kubernetes·운영 인프라,클라우드 운영 인프라,"Kubernetes, Tekton, 모니터링, 배포 자동화를 통해 NPU 서비스를 운영",Go,Kubernetes; DevOps; observability; deployment; cluster,저장소명·일반 upstream 특성 기반 추정
105,linux-rdma-perftest,https://github.com/furiosa-ai/linux-rdma-perftest,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",C,Rust; systems; binding; performance; low-level; rdma,저장소명·일반 upstream 특성 기반 추정
106,gpt-oss,https://github.com/furiosa-ai/gpt-oss,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark,저장소명·일반 upstream 특성 기반 추정
107,opaque_typedef,https://github.com/furiosa-ai/opaque_typedef,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Rust,,저장소명·일반 upstream 특성 기반 추정
108,tracing,https://github.com/furiosa-ai/tracing,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
109,pyo3-asyncio,https://github.com/furiosa-ai/pyo3-asyncio,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Rust,,저장소명·일반 upstream 특성 기반 추정
110,chipyard,https://github.com/furiosa-ai/chipyard,하드웨어 설계·검증,Chipyard fork,RISC-V SoC/accelerator 설계·검증 환경 구성,Scala,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
111,kvmd,https://github.com/furiosa-ai/kvmd,클라우드·Kubernetes·운영 인프라,클라우드 운영 인프라,"Kubernetes, Tekton, 모니터링, 배포 자동화를 통해 NPU 서비스를 운영",Python,Kubernetes; DevOps; observability; deployment; cluster,저장소명·일반 upstream 특성 기반 추정
112,optimum,https://github.com/furiosa-ai/optimum,LLM 추론·압축·평가,Hugging Face Optimum fork,모델 최적화·배포 경로를 Furiosa 환경에 맞게 검토,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
113,llama2,https://github.com/furiosa-ai/llama2,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark; llama,저장소명·일반 upstream 특성 기반 추정
114,fio,https://github.com/furiosa-ai/fio,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,C,,저장소명·일반 upstream 특성 기반 추정
115,onnx,https://github.com/furiosa-ai/onnx,AI 런타임·프레임워크 연동,ONNX fork,모델 교환 포맷과 컴파일러/런타임 호환성 검증,C++,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR; onnx,GitHub 목록/설명 확인
116,inference,https://github.com/furiosa-ai/inference,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark,저장소명·일반 upstream 특성 기반 추정
117,xgrammar-rs,https://github.com/furiosa-ai/xgrammar-rs,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,GitHub 목록/설명 확인
118,transformers_llama3,https://github.com/furiosa-ai/transformers_llama3,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark; llama,저장소명·일반 upstream 특성 기반 추정
119,nanoclaw,https://github.com/furiosa-ai/nanoclaw,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
120,K-EXAONE-quantization-public,https://github.com/furiosa-ai/K-EXAONE-quantization-public,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,GitHub 목록/설명 확인
121,heaptrack,https://github.com/furiosa-ai/heaptrack,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,C++,,저장소명·일반 upstream 특성 기반 추정
122,rust,https://github.com/furiosa-ai/rust,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
123,transformers-compression-part,https://github.com/furiosa-ai/transformers-compression-part,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark,저장소명·일반 upstream 특성 기반 추정
124,tracing-chrometrace,https://github.com/furiosa-ai/tracing-chrometrace,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
125,good_lp,https://github.com/furiosa-ai/good_lp,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
126,furiosa-metadata,https://github.com/furiosa-ai/furiosa-metadata,Furiosa 공식 SDK·운영 도구,Furiosa 메타데이터 관리,모델·장치·런타임 관련 메타데이터 구조를 관리,Rust,FuriosaAI; NPU; SDK; RNGD/Warboy,저장소명·일반 upstream 특성 기반 추정
127,production-stack,https://github.com/furiosa-ai/production-stack,Furiosa 공식 SDK·운영 도구,Furiosa NPU 공식 구성요소,Furiosa NPU 소프트웨어 스택의 개발·배포·운영 지원,YAML/Shell,FuriosaAI; NPU; SDK; RNGD/Warboy,저장소명·일반 upstream 특성 기반 추정
128,riscv-dv,https://github.com/furiosa-ai/riscv-dv,하드웨어 설계·검증,RISC-V directed/random verification,RISC-V DV 테스트 생성과 검증 자동화,SystemVerilog,hardware-verification; RISC-V; DV; coverage; simulation; riscv,GitHub 목록/설명 확인
129,netron,https://github.com/furiosa-ai/netron,기타·확인 필요,Model graph viewer fork,모델 구조 시각화와 디버깅 도구 확보,TypeScript,,GitHub 목록/설명 확인
130,csmith,https://github.com/furiosa-ai/csmith,하드웨어 설계·검증,C random program generator fork,컴파일러/런타임 검증용 랜덤 C 프로그램 생성,C,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
131,evalplus,https://github.com/furiosa-ai/evalplus,LLM 추론·압축·평가,Code LLM evaluation fork,코딩 모델 평가와 품질 검증,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
132,hf-hub,https://github.com/furiosa-ai/hf-hub,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,GitHub 목록/설명 확인
133,tekton-dashboard,https://github.com/furiosa-ai/tekton-dashboard,클라우드·Kubernetes·운영 인프라,클라우드 운영 인프라,"Kubernetes, Tekton, 모니터링, 배포 자동화를 통해 NPU 서비스를 운영",TypeScript,Kubernetes; DevOps; observability; deployment; cluster; tekton,저장소명·일반 upstream 특성 기반 추정
134,cudarc,https://github.com/furiosa-ai/cudarc,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level; cuda,저장소명·일반 upstream 특성 기반 추정
135,libbpf-rs,https://github.com/furiosa-ai/libbpf-rs,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
136,furiosa-metrics-exporter,https://github.com/furiosa-ai/furiosa-metrics-exporter,Furiosa 공식 SDK·운영 도구,NPU metrics exporter,운영 관측성을 위한 NPU 성능·상태 지표를 수집·노출,Go,FuriosaAI; NPU; SDK; RNGD/Warboy; metrics,GitHub 목록/설명 확인
137,FasterTransformer,https://github.com/furiosa-ai/FasterTransformer,LLM 추론·압축·평가,Transformer inference engine fork,고성능 Transformer 추론 엔진 비교·참조,C++,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
138,llama,https://github.com/furiosa-ai/llama,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark; llama,저장소명·일반 upstream 특성 기반 추정
139,git-sync-maestro,https://github.com/furiosa-ai/git-sync-maestro,클라우드·Kubernetes·운영 인프라,클라우드 운영 인프라,"Kubernetes, Tekton, 모니터링, 배포 자동화를 통해 NPU 서비스를 운영",Go,Kubernetes; DevOps; observability; deployment; cluster,저장소명·일반 upstream 특성 기반 추정
140,rocket-chip-dv-team,https://github.com/furiosa-ai/rocket-chip-dv-team,하드웨어 설계·검증,Rocket Chip DV fork,Rocket Chip 기반 설계 검증 환경 구성,Scala/SystemVerilog,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
141,proptest,https://github.com/furiosa-ai/proptest,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
142,rusty-fork,https://github.com/furiosa-ai/rusty-fork,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
143,compressed-tensors-compression-part,https://github.com/furiosa-ai/compressed-tensors-compression-part,LLM 추론·압축·평가,Compressed tensors fork,희소·양자화 tensor 저장과 배포 최적화 지원,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
144,kubectl-view-rngd,https://github.com/furiosa-ai/kubectl-view-rngd,기타·확인 필요,kubectl RNGD view plugin,RNGD/NPU 클러스터 상태를 kubectl에서 가시화,Rust,,GitHub 목록/설명 확인
145,optimum-furiosa,https://github.com/furiosa-ai/optimum-furiosa,LLM 추론·압축·평가,Optimum integration for Furiosa,Hugging Face Optimum 생태계와 Furiosa NPU 연동,Python,FuriosaAI; NPU; SDK; RNGD/Warboy; LLM; inference; serving; quantization,GitHub 목록/설명 확인
146,matrixmultiply,https://github.com/furiosa-ai/matrixmultiply,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
147,LiveBench,https://github.com/furiosa-ai/LiveBench,LLM 추론·압축·평가,LLM benchmark fork,최신 LLM 평가 벤치마크 수행,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
148,Qwen3-Embedding,https://github.com/furiosa-ai/Qwen3-Embedding,LLM 추론·압축·평가,Qwen3 Embedding fork,임베딩 모델 성능·호환성 검증,Python,LLM; inference; serving; quantization; benchmark; qwen; embedding,GitHub 목록/설명 확인
149,e2b-infra,https://github.com/furiosa-ai/e2b-infra,클라우드·Kubernetes·운영 인프라,클라우드 운영 인프라,"Kubernetes, Tekton, 모니터링, 배포 자동화를 통해 NPU 서비스를 운영",Go,Kubernetes; DevOps; observability; deployment; cluster,GitHub 목록/설명 확인
150,SSD.TensorFlow,https://github.com/furiosa-ai/SSD.TensorFlow,비전·응용 데모·RAG,SSD TensorFlow fork,TensorFlow 기반 객체탐지 모델 검증,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
151,error-chain,https://github.com/furiosa-ai/error-chain,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
152,wheel_repairer,https://github.com/furiosa-ai/wheel_repairer,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
153,tektoncd-actions,https://github.com/furiosa-ai/tektoncd-actions,클라우드·Kubernetes·운영 인프라,클라우드 운영 인프라,"Kubernetes, Tekton, 모니터링, 배포 자동화를 통해 NPU 서비스를 운영",TypeScript,Kubernetes; DevOps; observability; deployment; cluster; tekton,저장소명·일반 upstream 특성 기반 추정
154,sglang,https://github.com/furiosa-ai/sglang,LLM 추론·압축·평가,SGLang fork,LLM serving 런타임과 agentic serving 경로 검증,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
155,krew-index,https://github.com/furiosa-ai/krew-index,Furiosa 공식 SDK·운영 도구,kubectl plugin index,kubectl 플러그인 배포·설치 경로 제공,YAML,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
156,K-EXAONE-evaluation-public,https://github.com/furiosa-ai/K-EXAONE-evaluation-public,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,GitHub 목록/설명 확인
